likes,body,url
54,"Взрослый Чемпионат Европы в 2022 году пройдет в Софие, сообщает Европейский Союз Дзюдо. Президент EJU уже подписал контракт с Федерацией Дзюдо Болгарии, а также соглашение о развитии дзюдо в стране на ближайшие два года, в рамках которого особое внимание будет уделено продвижению школьного и семейного дзюдо.",https://sun1-15.userapi.com/c857632/v857632616/dc62a/1mzfcyBIOmU.jpg
33,"Год назад в этот день шел Гран При в Ташкенте, а это значит, что после этих выходных нас ждет очередное изменение рейтинга - очки за тот турнир сократятся вдвое. 

Ну а пока можно посмотреть хайлайты того Гран При и вспомнить, кого именно ждет уменьшение очков в этот раз.",https://sun1-15.userapi.com/c857632/v857632616/dc62a/1mzfcyBIOmU.jpg
141,"Новостей в субботу мало, поэтому как обычно вместе листаем соцсети известных дзюдоистов!",https://sun1-16.userapi.com/c857416/v857416616/e1476/N-kVOZvLIyk.jpg
43,"28 октября открылась продажа билетов на Олимпийские Игры 2020 в Токио, и за это время россияне купили уже более трех тысяч билетов. Цены на открытие Олимпиады начинаются с 10 118 рублей и доходят до 208 896 рублей. Дзюдо - в числе самых популярных видов спорта по продажам билетов.

https://tass.ru/sport/7095191",https://sun1-16.userapi.com/c857416/v857416616/e1476/N-kVOZvLIyk.jpg
155,"Итоги открытого абсолютного Чемпионата Украины:

Абсолютная категория у мужчин:
1. Яков Хаммо (Украина, Киев) 
2. Александр Гордиенко (Украина, Одесса) 
3. Гурам Тушишвили (Грузия) 
3.Андрей Колесник (Украина, Киев) 
 
Абсолютная категория у женщин:
1.Ирина Киндзерская (Азербайджан) 
2.Елизавета Каланина (Украина, Кременчуг) 
3.Галина Тарасова (Украина, Запорожье) 
3. Василина Кириченко (Украина, Львов) 
 
-73 кг у мужчин:
1. Геворг Хачатрян (Украина, Днепр) 
2. Александр Кошляк (Украина, Днепр) 
3. Торнике Наглиашвили (Грузия) 
3. Нико Саджая (Украина, Днепр)

Источник: https://www.facebook.com/JudoFederationDnipropetrovskRegion",https://sun9-67.userapi.com/c857416/v857416968/e16aa/Zhz39Kco4Xw.jpg
394,10 свежих фото известных дзюдоистов в обзоре соцсетей!,https://sun1-22.userapi.com/c857532/v857532043/d5344/1n19I_LBWqE.jpg
50,"В Днепре проходит открытый абсолютный Чемпионат Украины, на который приехали также спортсмены из Азербайджана и Грузии (в том числе Гурам Тушишвили).

Прямая трансляция в YouTube: https://www.youtube.com/channel/UCQYrJ0UiXpYSSAHexsdts-g",https://sun9-26.userapi.com/c857532/v857532043/d5405/8vnFhBBCseo.jpg
104,"Японский доктор Такеши Камитани не только работает ортопедом, но и имеет 6 дан в дзюдо, и с недавних пор он разработал для своих пациентов программу ""Явара-чан тайсо"", в которой он вместе со своими знакомыми дзюдоистами (а в числе его знакомых дзюдоистов оказался, например, Косей Иноуэ) на татами учит основным элементам вроде страховки, чтобы сократить риск травм при падении, что особенно важно для людей в возрасте.",https://sun9-12.userapi.com/c854016/v854016669/15a77b/a--SJpK5tVE.jpg
64,"Французы объявили состав сборной на Большой Шлем в Париже 2020, который пройдет 8-9 февраля. Среди прочих в заявке есть Тедди Ринер, который не выступал на этом турнире аж с 2013 (а до этого выигрывал его 6 лет подряд).",https://sun1-29.userapi.com/c858432/v858432504/da072/fCFNaru-klE.jpg
55,Вспоминаем Большой Шлем в Абу Даби 2019 с хайлайтами от IJF!,https://sun1-29.userapi.com/c858432/v858432504/da072/fCFNaru-klE.jpg
272,"Белодед, Шихализаде, Могушков, Халмурзаев, Моура, Ким, Сильва, Рессель, Чхвимиани, Майдов и Кога в свежем обзоре соцсетей известных дзюдоистов!",https://sun1-86.userapi.com/c855128/v855128676/14a03c/18esQk-5iDU.jpg
64,"Видео с лучшими бросками первого и второго дня Кубка Кодокана 2019, прошедшего в эти выходные. 

Про итоги турнира мы уже писали: https://vk.com/wall-34953427_142183",https://sun1-86.userapi.com/c855128/v855128676/14a03c/18esQk-5iDU.jpg
68,В Великобритании по традиции уже провели вручение наград лучшим спортсменам года. В этот раз премии лучших взрослых дзюдоистов получили Салли Конвэй и Эшли Маккензи.,https://sun9-33.userapi.com/c855524/v855524676/154a52/G7FuUG0iskE.jpg
142,"Немного о важности Большого Шлема в Осаке для некоторых членов сборной Японии: чемпионы мира Шохеи Оно, Джоширо Маруяма, Ута Абе и Акира Соне обеспечат себе место в составе на Олимпийские Игры 2020, если смогут добыть золото в Осаке!

Напомним, Большой Шлем пройдет в этом году 22-24 ноября. Японцы уже объявили состав на турнир: https://vk.com/wall-34953427_142140",https://sun9-41.userapi.com/c857324/v857324676/39f00/hXUHT5pOmzQ.jpg
204,"Илиас Илиадис станет новым тренером сборной Узбекистана?

Пока что это на уровне слухов, которые пару дней активно распространяются в интернете разными источниками (в том числе близкими к сборной Узбекистана) и подкрепляются фотографиями Илиадиса в Instagram, однако официального заявления пока ни от спортсмена, ни от Федерации Дзюдо Узбекистана не было.",https://sun9-4.userapi.com/c854128/v854128655/1530d3/HbCgtC-k7kk.jpg
177,Вечерняя тренировка в Кодокане с участием членов сборной и лучших спортсменов университетского уровня в рамках подготовки к Большому Шлему в Осаке.,https://sun9-15.userapi.com/c855524/v855524676/154a01/TBSeynkIBmc.jpg
159,"Зантарая, Оно, Шуши, Унгвари, Крпалек, Монтейро, Шеразадишвили, Эбинума, Карньин и Илиадис в свежем обзоре соцсетей дзюдоистов!",https://sun9-45.userapi.com/c855224/v855224572/1576df/CxtjVps-cDs.jpg
65,"Не нуждающаяся в представлении Ронда Раузи продолжает развивать свой канал на ютубе и помимо прочего снимает туда небольшие обучалки по дзюдо, в последней из которых показывает базовый зацеп изнутри.

Остальные видео можно найти на ее канале: https://www.youtube.com/channel/UCKKbnaWUi04RpY1M0yBidBw/videos",https://sun9-45.userapi.com/c855224/v855224572/1576df/CxtjVps-cDs.jpg
74,"Одна из самых громких побед Кубка Кодокана была в -73кг, где далеко не самый известный Кенши Харада в финале выиграл у Масаши Эбинума и тем самым обеспечил себе место в составе на Большой Шлем в Осаке. 

Если вы еще не видели итоги турнира, они тут: https://lite.ejudo.info/results/7047/",https://sun9-45.userapi.com/c855224/v855224572/1576df/CxtjVps-cDs.jpg
39,"Видео про личный чемпионат мира по дзюдо в Токио вышло пару дней назад, а теперь добавилось еще и видео про командный турнир!",https://sun9-45.userapi.com/c855224/v855224572/1576df/CxtjVps-cDs.jpg
69,"Клуб дзюдо ""Гладиатор"" пришел на хорватское шоу талантов Supertalent, и ролик с их участием уже набрал почти 400к просмотров в Youtube!",https://sun9-45.userapi.com/c855224/v855224572/1576df/CxtjVps-cDs.jpg
216,"Мартин Пачек рассказал в Instagram, чем занялся после завершения карьеры. Медалист 17 турниров IJF не стал тренером, спортивным менеджером или политиком, а ушел на обычную работу в бухгалтерскую компанию Bravura. Правда, со скукой по дзюдо не справился и сводил своих новых коллег потренироваться на татами с ним и действующим членом сборной Швеции Хуакимом Дварби.",https://sun9-31.userapi.com/c855224/v855224572/15765d/nm0NRMd7vSY.jpg
18,"Медиа-команда IJF плотно села за выпуск видео, и вот вышли хайлайты Гран При в Ташкенте!",https://sun9-31.userapi.com/c855224/v855224572/15765d/nm0NRMd7vSY.jpg
51,Новое видео IJF: хайлайты Большого Шлема в Бразилии!,https://sun9-31.userapi.com/c855224/v855224572/15765d/nm0NRMd7vSY.jpg
36,"Еще турнир с прошедших выходных, на который стоит обратить внимание, - Кубок Кодокана - традиционный турнир, с которого японские дзюдоисты (преимущественно третьи номера и ниже) отбираются на Большой Шлем в Осаке.

Итоги у мужчин: https://lite.ejudo.info/results/7047/
Итоги у женщин: https://lite.ejudo.info/results/7065/

Ну и про состав на Большой Шлем мы уже писали: https://vk.com/wall-34953427_142140",https://sun9-19.userapi.com/c855036/v855036657/151fe4/B4FomY6LKfw.jpg
38,"В минувшие выходные в Амьене прошел взрослый Чемпионат Франции по дзюдо. Почти все лидеры сборной либо поехали на турнир в Океании, либо пропустили турнир, но знакомые имена на пьедестале все равно есть.

Все пьедесталы: https://www.ffjudo.com/actualite/championnats-de-france-seniors-1d-2
Полные сетки: https://judotv-combats.damdy.com/live/base_bdd_2.php?x%DAK%CDI%CDM%CD%2B%29%D6O%CE%CF-H-%C9%2C%C9%CC%CF%D3%AB%C8%CDy%89%09%B7",https://sun9-56.userapi.com/c855036/v855036657/151f8d/_iY0uaYxjpg.jpg
265,"Саид Моллаи получил официальный статус беженца в Германии, где он сейчас живет и тренируется. Как сообщает IJF, впереди еще много официальных моментов, но Международная Федерация сделает все, чтобы третий номер мирового рейтинга снова оказался на татами в новом статусе как можно раньше.",https://sun9-71.userapi.com/c855036/v855036657/151f68/s4rN69K8nHI.jpg
65,"На церемонии закрытия Первенства Европы U23 в Ижевске по традиции флаг был передан следующим организаторам турнира - хорватам: турнир в 2020 пройдет в небольшом курортном городе Пореч, где проходит ежегодный Фестиваль Дзюдо от EJU.

Сейчас Первенство Европы - единственный официальный турнир в международном календаре, который проводится в этой возрастной категории.",https://sun9-44.userapi.com/c855036/v855036657/151eb3/h2D_fcb7yq8.jpg
99,Тем временем Рой Мейер в Голландии в перерывах между тренировками поднимает машины для фото в СМИ.,https://sun1-26.userapi.com/c857028/v857028657/3561c/EJMOb6AAnUQ.jpg
27,"""Последний день немного смазанный, потому что мы обычно выступаем ровно, а получилось, что мы в первые два дня сделали хороший задел - три золота, два серебра - и в последний день у нас шансы были в до 90 килограмм сделать финал, но не получилось. Тем не менее, общий результат нас устраивает"".

https://tass.ru/sport/7076242",https://sun1-26.userapi.com/c857028/v857028657/3561c/EJMOb6AAnUQ.jpg
45,"Неплохой вариант, как отвлечься от дел и провести следующие 9 минут, - посмотреть три видео с лучшими моментами молодежного Первенства Европы, которое прошло в Ижевске на прошлой неделе!

Если ты не видел результаты, они тут: http://www.ippon.org/ec_u23_2019.php",https://sun1-26.userapi.com/c857028/v857028657/3561c/EJMOb6AAnUQ.jpg
147,"Тренерский штаб сборной Японии анонсировал состав на домашний Большой Шлем, который пройдет 22-24 ноября.

-60: Наохиса Такато, Рюджу Нагаяма, Даи Аоки, Генки Кога
-66: Джоширо Маруяма, Хифуми Абе, Юджи Аида, Юки Нишияма
-73: Шохеи Оно, Соичи Хашимото, Кенши Харада, Масаши Эбинума
-81: Сотаро Фудживара, Таканори Нагасе, Томокие Хикару, Такеши Сасаки
-90: Шоичиро Мукаи, Санширо Мурао, Машу Бейкер, Кента Нагасава
-100: Аарон Вольф, Кентаро Иида, Рюносуке Хага, Дайки Нишияма
+100: Хисаеши Харасава, Кокоро Кагеура, Юсуке Кумаширо, Дайго Кагава

-48: Фуна Тонаки, Нацуми Цунода, Вакана Кога, Ами Кондо
-52: Ута Абе, Аи Шишиме, Учио Мако, Чишима Маеда
-57: Цукаса Ёшида, Момо Тамаоки, Харука Фунакубо, Коюки Цуруока
-63: Мику Таширо, Нами Набекура, Дои Масако, Нана Кота, 
-70: Чизуру Араи, Шихо Танака, Саки Ниизое, Йоко Оно
-78: Шори Хамада, Умеки Мами, Риноко Вада, Маки Изуми
+78: Акира Соне, Сара Асахина, Томита Вакаба, Хикару Кодама.",https://sun9-7.userapi.com/c857328/v857328950/3332b/mXfVppabVC4.jpg
215,"Международная Федерация Дзюдо выпустила 47-минутный фильм с хайлайтами чемпионата мира по дзюдо 2019 в Токио! Находите время и вспоминайте, как это было!",https://sun9-7.userapi.com/c857328/v857328950/3332b/mXfVppabVC4.jpg
49,"Произошло очередное обновление рейтинга IJF!

Полный список во всех весах тут: https://judobase.ijf.org/#/wrl",https://sun9-48.userapi.com/c857616/v857616961/d5ac3/VF7cHxWhL90.jpg
53,"С увеличенным количеством очков за призовые места Открытый Кубок Океании в Перте выдался по составу сильнее некоторых Гран При.

На турнир приехали представители 66 стран, в медальном зачете победили россияне с 3 золотыми (Игольников, Долгова, Кузютина), 2 серебряными (Ильясов, Лаппинагов) и 1 бронзовой медалью (Чибисова). На втором месте немцы, на третьем испанцы.

Полные результаты стоят того, чтобы их поизучать: http://www.ippon.org/cont_open_aus2019.php",https://sun9-67.userapi.com/c855320/v855320216/156a95/JmcrxYfvuQc.jpg
45,"На Чемпионат Европы 2020, который пройдет с 1 по 3 мая в Праге, уже начали продавать билеты!

Сейчас билеты, по которым можно будет посетить все три дня турнира, стоят по 1170 крон (Около 3300 рублей) и 1470 крон (около 4100 рублей). 

Сайт продажи билетов: https://www.ticketportal.cz/event/MISTROVSTVI-EVROPY-V-JUDU-2020?idp=-2147479886",https://sun9-47.userapi.com/c857336/v857336216/3353f/ys7cj1rmwrk.jpg
127,"Эмоции Первенства Европы в Ижевске в фотоотчете EJU.

Больше фото: https://eju.net/detail-gallery/4098",https://sun9-22.userapi.com/c857336/v857336216/334c0/D1wemL780JA.jpg
73,"Вчера в Ижевске завершилось Первенство Европы U23 с 235 участниками из 33 стран. Медальный зачет возглавили россияне с 4 золотыми, 3 серебряными и 3 бронзовыми медалями (золотом отметились Рамазан Абдулаев, Мурад Чопанов, Турпал Тепкаев и Дарья Пичкалева). Второе место у венгров (3-0-2), третье у грузин (2-1-2).

Полные итоги турнира: http://www.ippon.org/ec_u23_2019.php",https://sun9-21.userapi.com/c855220/v855220216/1505d2/X48vo5COnQg.jpg
39,"Начинается заключительный день Первенства Европы U23 в Ижевске!

Сегодня нас ждут схватки в категориях -90кг, -100кг, +100кг, -78кг и +78кг.

Сетки: http://www.ippon.org/ec_u23_2019.php
Трансляция: https://eju.net/calendar-detail/3872",https://sun9-11.userapi.com/c858324/v858324405/c9c28/a1aFoXpMVvs.jpg
62,"Начинается второй день Первенства Европы U23 в Ижевске!

Сегодня узнаем имена победителей в категориях -73г, -81кг, -63кг и -70кг.

Сетки: http://www.ippon.org/ec_u23_2019.php
Трансляция: https://eju.net/calendar-detail/3872",https://sun9-36.userapi.com/c857236/v857236412/2d0ab/9ZMXmCvtkCU.jpg
95,"Прямо сейчас в Ижевске начинается Первенство Европы U23!

Турнир пройдет в течение трех дней, сегодня начинаем с категорий -60кг и -66кг у мужчин, а также -48кг, -52кг и -57кг у женщин. Сейчас стартует утренняя часть, финальный блок начнется в 16:00 мск.

Сетки: http://www.ippon.org/ec_u23_2019.php
Прямой эфир: https://eju.net/calendar-detail/3872",https://sun9-56.userapi.com/c854328/v854328189/148088/FI-ogIStNMA.jpg
101,"На своей странице в Instagram дзюдоист опубликовал видео, на котором он 8 раз за 13 секунд бросил чучело, а в подписи к ролику предложил другим спортсменам похвастаться своими достижениями. 

https://xsport.ua/judo_s/news/on-chto-to-slyshal-ob-ustalosti-zantaraya-brosil-maneken-8-raz-za-13-sekund_2165058/",https://sun9-56.userapi.com/c854328/v854328189/148088/FI-ogIStNMA.jpg
55,"С пятницы по воскресенье в Ижевске пройдет молодежное Первенство Европы (до 23 лет), и хозяева турнира рассказали о намерении добыть медали во всех весовых категориях.

https://tass.ru/sport/7059298",https://sun9-56.userapi.com/c854328/v854328189/148088/FI-ogIStNMA.jpg
165,"Бразильский дзюдоист Марио Сабино найден застреленным в 47 лет. За свою карьеру бразилец добывал бронзу чемпионата мира 2003, дважды выигрывал Чемпионат Панамерики, был чемпионом мира среди военных и ветеранов. Сообщается, что Марио работал в полиции, и смерть может быть связана с этим, однако подробности пока не раскрываются.",https://sun9-31.userapi.com/c856020/v856020521/1435c0/E7LZNrVPkpw.jpg
63,"В конце недели в Перте пройдет Открытый Кубок Океании, за который в этом году сделали повышенное количество очков - победитель получит 700 баллов (на таких турнирах в Европе дают 100). Как пишет JudoInside, такое повышение - компенсация за Чемпионат Океании, который больше не проводится и совмещен с Чемпионатом Азии.",https://sun9-40.userapi.com/c856020/v856020521/143597/8J6Gfn7Nmt8.jpg
274,"Сегодня день рождения празднуют действующий чемпион мира Жорж Фонсека, олимпийская чемпионка Эмили Андеоль, а такжедвукратный призер Олимпийских Игр Джимми Педро!",https://sun9-22.userapi.com/c856020/v856020521/143561/dxIYBvQA0Ss.jpg
54,"Небольшое видео IJF про программу ""Дзюдо в школах"".",https://sun9-22.userapi.com/c856020/v856020521/143561/dxIYBvQA0Ss.jpg
64,Президент IJF Мариус Визер посадил дерево в Абу Даби в День Дзюдо.,https://sun9-22.userapi.com/c856020/v856020521/143561/dxIYBvQA0Ss.jpg
200,"Сегодня отмечается Международный День Дзюдо!

Не забудьте поздравить знакомых дзюдоистов и дзюдоисток, а также посадить дерево, ведь это тема этого праздника в этом году!",https://sun9-8.userapi.com/c855724/v855724611/144416/mLkuuLhIU8c.jpg
83,"Сегодня 27 лет исполняется Гуусье Стинхьюис - серебряной медалистке чемпионата мира, четырежды медалистке Чемпионатов Европы, победительнице 7 турниров IJF.",https://sun9-24.userapi.com/c858024/v858024693/c2ffa/6mncAIYMTCg.jpg
110,Эмоции и броски Большого Шлема в Абу Даби в фотографиях Габриэлы Сабау. Больше фото: https://www.ijf.org/competition/1758/photos?show-all=1,https://sun9-66.userapi.com/c858428/v858428693/c1d39/DEnoR1157v8.jpg
88,"Не забывайте, что день дзюдо уже завтра, и у вас еще есть шанс посадить дерево в рамках темы праздника в этом году!",https://sun9-21.userapi.com/c858428/v858428693/c1d1c/LfvEKYjWu1g.jpg
81,"В Абу Даби завершился Большой Шлем!

В общекомандном зачете победили корейцы (3 золота, серебро, 4 бронзы), второе место у голландцев (2-1-1), третье у словенцев (2-1-0). Россия с тремя бронзами осталась на 17 строчке.

Полные итоги, статистика, записи схваток на https://live.ijf.org/gs_uae2019",https://sun9-34.userapi.com/c857736/v857736474/bee36/Vx5b5cekeOI.jpg
